"Brand","Year","UsedOrNew","Transmission","Cylinders","EngineDisplacement","DriveType","FuelType","Litersper100km","Kilometres","City","State","BodyType","Doors","Seats","Price"
"Mitsubishi",2015,"USED","Automatic",4,2.5,"4WD","Diesel",9.3,204000,"Eastern Creek","NSW","Ute / Tray",4,5,18995
"Subaru",2013,"USED","Manual",4,2,"AWD","Unleaded",7.2,122077,"Sylvania","NSW","SUV",4,5,16857
"Mazda",2015,"USED","Automatic",4,2,"Front","Unleaded",6.1,60581,"Castle Hill","NSW","SUV",4,5,22990
"Nissan",2010,"USED","Manual",4,2.5,"4WD","Diesel",9.8,259488,"Campbelltown","NSW","Ute / Tray",2,2,13950
"Holden",2017,"USED","Automatic",4,2.4,"Front","Unleaded",9,186954,"Haberfield","NSW","SUV",4,7,12990
"Kia",2017,"USED","Automatic",4,2,"Front","Unleaded",7.1,21350,"Blacktown","NSW","Hatchback",5,5,22990
"Audi",2016,"USED","Automatic",5,2.5,"AWD","Premium",8.1,47926,"Castle Hill","NSW","Hatchback",5,5,59990
"Mitsubishi",2014,"USED","Manual",4,2.5,"Rear","Diesel",8,88861,"Mcgraths Hill","NSW","Ute / Tray",2,2,21880
"Jeep",2007,"USED","Automatic",6,3,"4WD","Diesel",16,199000,"Strathfield","NSW","SUV",4,5,10990
"Mercedes-Benz",2018,"USED","Automatic",4,2,"Rear","Hybrid",6.5,72540,"Blacktown","NSW","Sedan",4,4,39990
"Toyota",2020,"USED","Automatic",4,1.8,"Front","Hybrid",4.2,87043,"Wollongong","NSW","Hatchback",5,5,39990
"Ford",2012,"USED","Manual",5,3.2,"4WD","Diesel",9.4,254121,"Cabramatta","NSW","Ute / Tray",4,5,21990
"Honda",2008,"USED","Manual",4,2,"Front","Premium",9.3,165450,"Minchinbury","NSW","Hatchback",3,4,18990
"Honda",2022,"USED","Automatic",4,1.5,"Front","Unleaded",7.3,15087,"Banksia","NSW","SUV",4,5,39990
"Nissan",2013,"USED","Automatic",4,2.5,"4WD","Diesel",10.5,159056,"Campbelltown","NSW","Ute / Tray",4,5,21990
"Hyundai",2017,"USED","Automatic",4,2,"AWD","Diesel",6.8,97295,"Wollongong","NSW","SUV",4,5,31990
"Mazda",2015,"USED","Automatic",4,2.5,"AWD","Unleaded",7.4,83095,"Campbelltown","NSW","SUV",4,5,26990
"Isuzu",2017,"USED","Automatic",4,3,"4WD","Diesel",7.7,192988,"Five Dock","NSW","Ute / Tray",4,5,28999
"Mercedes-Benz",2014,"USED","Automatic",4,1.8,"Front","Diesel",4.6,105663,"Campbelltown","NSW","Hatchback",5,5,22500
"Toyota",2007,"USED","Manual",4,2.7,"Rear","Unleaded",11.6,222603,"Croydon","NSW","Commercial",4,3,17990
"Ford",2020,"USED","Automatic",3,1,"Front","Premium",5.3,22300,"Smithfield","NSW","SUV",5,5,27800
"Mazda",2022,"USED","Automatic",4,1.5,"Front","Unleaded",5.2,11824,"Wollongong","NSW","Hatchback",5,5,29990
"Toyota",2007,"USED","Automatic",4,1.8,"Front","Unleaded",7.7,250318,"Minchinbury","NSW","Hatchback",5,5,10990
"Jeep",2016,"USED","Automatic",6,3.6,"4WD","Premium",10.4,39967,"Castle Hill","NSW","SUV",4,5,34800
"Hyundai",2020,"USED","Automatic",4,2,"Front","Unleaded",7.9,38341,"Granville","NSW","SUV",4,5,28984
"Toyota",2020,"USED","Automatic",4,2.5,"Front","Unleaded",8.3,7528,"Castle Hill","NSW","Sedan",4,5,32990
"Honda",2018,"USED","Automatic",4,1.5,"Front","Unleaded",5.8,94385,"Homebush","NSW","Sedan",4,5,19999
"Toyota",2018,"USED","Automatic",4,1.2,"AWD","Premium",5.6,110047,"Wollongong","NSW","SUV",4,5,29990
"Kia",2012,"USED","Automatic",4,2.2,"AWD","Diesel",7.4,164189,"Cabramatta","NSW","SUV",4,7,16990
"Holden",2013,"USED","Automatic",4,1.8,"Front","Unleaded",7.4,106722,"Smithfield","NSW","Hatchback",5,5,10800
"Isuzu",2018,"USED","Automatic",4,3,"Front","Diesel",8.1,72650,"Blacktown","NSW","SUV",4,7,39880
"Kia",2015,"USED","Automatic",4,1.8,"Front","Unleaded",7.1,123624,"Camden","NSW","Sedan",4,5,14995
"Lexus",2014,"USED","Automatic",6,3.5,"Rear","Premium",9.7,155620,"Castle Hill","NSW","Sedan",4,5,27990
"Mazda",2018,"USED","Automatic",4,1.5,"Front","Unleaded",4.9,53426,"Wollongong","NSW","Hatchback",5,5,22990
"Toyota",2009,"USED","Automatic",4,1.8,"Front","Unleaded",7.7,114727,"Minchinbury","NSW","Hatchback",5,5,14995
"Toyota",2016,"USED","Automatic",6,3.5,"AWD","Unleaded",10.6,98983,"Blacktown","NSW","SUV",4,7,39280
"Volkswagen",2007,"USED","Automatic",4,2,"Front","Premium",8.1,160523,"Leichhardt","NSW","Hatchback",3,5,10990
"Holden",2015,"USED","Automatic",8,6,"Rear","Premium",11.8,96000,"Castle Hill","NSW","Sedan",4,5,47990
"Nissan",2016,"USED","Automatic",4,2.5,"Front","Unleaded",7.9,39397,"Penrith","NSW","SUV",4,5,23950
"Hyundai",2020,"USED","Automatic",4,2,"Front","Unleaded",7.4,54368,"Campbelltown","NSW","Hatchback",4,5,26990
"Holden",2014,"USED","Automatic",4,1.8,"Front","Unleaded",7.4,220683,"Adamstown","NSW","Hatchback",5,5,7990
"Toyota",2013,"USED","Automatic",4,2.5,"Front","Unleaded",7.8,89140,"Five Dock","NSW","Sedan",4,5,17900
"Toyota",2013,"USED","Automatic",4,1.8,"Front","Unleaded",6.6,149974,"Lidcombe","NSW","Hatchback",5,5,16990
"Hyundai",2019,"USED","Automatic",4,2,"Front","Unleaded",7.4,44879,"Blacktown","NSW","Hatchback",4,5,26990
"Mazda",2016,"USED","Automatic",5,3.2,"4WD","Diesel",9.2,110909,"Cardiff","NSW","Ute / Tray",4,5,34913
"Toyota",2013,"USED","Automatic",4,1.8,"Front","Unleaded",6.6,109519,"Castle Hill","NSW","Hatchback",5,5,19990
"Kia",2020,"USED","Automatic",6,3.3,"Rear","Unleaded",10.2,19372,"Carlton","NSW","Sedan",4,5,55888
"Toyota",2015,"USED","Automatic",4,2.5,"AWD","Unleaded",8.5,155198,"Granville","NSW","SUV",4,5,24950
"Honda",2012,"USED","Automatic",4,1.3,"Front","Unleaded",6.6,111323,"Kirrawee","NSW","Hatchback",5,5,12800
"BMW",2017,"USED","Automatic",4,2,"Rear","Premium",5.8,79882,"Blacktown","NSW","Hatchback",5,5,41280
"Volkswagen",2008,"USED","Manual",4,2,"Front","Premium",8.1,155839,"Minchinbury","NSW","Hatchback",5,5,13990
"Subaru",2018,"USED","Automatic",4,2.5,"AWD","Unleaded",7.3,66805,"Blacktown","NSW","SUV",4,5,33898
"Ford",2011,"USED","Automatic",6,2.7,"Rear","Diesel",8.2,227646,"Cardiff","NSW","SUV",4,5,8913
"Kia",2013,"USED","Automatic",4,1.4,"Front","Unleaded",6.3,88465,"Pennant Hills","NSW","Hatchback",5,5,14888
"Holden",2013,"USED","Automatic",6,3.6,"Rear","Unleaded",9.5,237426,"Minchinbury","NSW","Sedan",4,5,15995
"Toyota",1999,"USED","Manual",6,4.2,"4WD","Diesel",0,41750,"Lidcombe","NSW","Ute / Tray",2,3,48999
"Toyota",2013,"USED","Manual",4,3,"Rear","Diesel",8.1,345194,"Blacktown","NSW","Ute / Tray",4,5,12990
"Toyota",2017,"USED","Automatic",4,1.8,"Front","Unleaded",6.1,130970,"East Maitland","NSW","Hatchback",5,5,23990
"Honda",2016,"USED","Automatic",4,1.5,"Front","Unleaded",6,35612,"Liverpool","NSW","Sedan",4,5,24888
"Audi",2013,"USED","Automatic",4,1.8,"Front","Premium",6.7,148265,"Leichhardt","NSW","Hatchback",5,5,13999
"Hyundai",2018,"USED","Automatic",4,1.6,"Front","Unleaded",7.1,83494,"Minto","NSW","Hatchback",4,5,27950
